station_number,total_observations,last_date,last_value,unit
08KF001,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08KF001&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LF027,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LF027&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GA033,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GA033&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08DA005,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08DA005&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LE017,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LE017&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HA040,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HA040&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LF063,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LF063&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08JA014,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08JA014&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08DB010,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08DB010&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GC004,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GC004&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HB017,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HB017&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08DC001,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08DC001&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HB095,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HB095&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08LC010,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08LC010&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HC003,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HC003&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08HA004,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08HA004&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08KH003,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08KH003&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08GA036,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08GA036&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08JA020,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08JA020&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
08KH021,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=08KH021&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
07EF001,"ERROR: HTTPSConnectionPool(host='streamflowops.3rdplaces.io', port=443): Max retries exceeded with url: /api/v1/observations/discharge/?station_number=07EF001&ordering=-date&limit=1 (Caused by NameResolutionError(""HTTPSConnection(host='streamflowops.3rdplaces.io', port=443): Failed to resolve 'streamflowops.3rdplaces.io' ([Errno -3] Temporary failure in name resolution)""))",,,
