site_no,station_nm,latitude,longitude,state_cd,county_cd,huc_cd,huc_code,huc_region,drainage_area,site_type,active,basin,is_huc17,has_discharge
09234000,"CARTER CREEK AT MOUTH NEAR MANILA, UTAH",40.8930143,-109.5923652,UT,009,14040106,14040106,14,110.00,ST,Yes,Southwest,False,True
09234500,"GREEN RIVER NEAR GREENDALE, UT",40.90829296,-109.422914,UT,009,14040106,14040106,14,19400,ST,Yes,Southwest,False,True
09234700,"RED CREEK NEAR DUTCH JOHN, UTAH",40.9696816,-109.237352,UT,009,14040106,14040106,14,140.00,ST,Yes,Southwest,False,True
09235000,"GREEN RIVER AT BRIDGEPORT, UTAH",40.8621822,-109.1395701,UT,009,14040106,14040106,14,15700.0,ST,Yes,Southwest,False,True
09235100,"CROUSE CREEK NEAR VERNAL, UT",40.7952383,-109.0912348,UT,009,14040106,14040106,14,30.20,ST,Yes,Southwest,False,True
09235600,"POT CREEK ABOVE DIVERSIONS, NEAR VERNAL, UTAH",40.768015,-109.3190219,UT,047,14040106,14040106,14,24.60,ST,Yes,Southwest,False,True
09235800,"POT CREEK NEAR VERNAL, UTAH",40.67357295,-109.0515105,UT,009,14040106,14040106,14,107.00,ST,Yes,Southwest,False,True
09261000,"GREEN RIVER NEAR JENSEN, UT",40.40871944,-109.23523611,UT,047,14040106,14040106,14,29660.0,ST,Yes,Southwest,False,True
09261500,"BIG BRUSH CREEK (AB CAVE) NR VERNAL, UTAH",40.7041243,-109.5965309,UT,047,14060002,14060002,14,23.00,ST,Yes,Southwest,False,True
09261700,"BIG BRUSH CRK ABV RED FLEET RES, NR VERNAL, UT",40.58883234,-109.46543719,UT,047,140600100205,140600100205,14,77.2,ST,Yes,Southwest,False,True
09262000,"BIG BRUSH CREEK NEAR VERNAL,UTAH",40.58162648,-109.4348572,UT,047,14060002,14060002,14,79.60,ST,Yes,Southwest,False,True
09262500,LT BRUSH CR BL E PK RES NR VERNAL UT,40.75829135,-109.534029,UT,047,14060002,14060002,14,20.00,ST,Yes,Southwest,False,True
09263000,"LITTLE BRUSH CREEK NR VERNAL, UT",40.7160695,-109.5056942,UT,047,14060002,14060002,14,28.00,ST,Yes,Southwest,False,True
09263500,"BRUSH CREEK NEAR JENSEN, UTAH",40.40846111,-109.34056667,UT,047,140600100403,140600100403,14,255.0,ST,Yes,Southwest,False,True
09264000,"ASHLEY C BELOW TROUT C NR VERNAL, UTAH",40.73329,-109.6784789,UT,047,14060002,14060002,14,27.00,ST,Yes,Southwest,False,True
09264500,"SOUTH FORK ASHLEY C NR VERNAL, UTAH",40.7332898,-109.7034799,UT,047,14060002,14060002,14,20.00,ST,Yes,Southwest,False,True
09265000,"OAKS PARK CANAL NEAR VERNAL, UTAH",40.74329049,-109.6223657,UT,047,14060002,14060002,14,,ST,Yes,Southwest,False,True
09265300,"ASHLEY CREEK ABOVE RED PINE CREEK NR VERNAL, UT",40.6796794,-109.6609775,UT,047,14060002,14060002,14,55.80,ST,Yes,Southwest,False,True
09265500,ASHLEY CR ABV SP NR VERNAL UT,40.58884697,-109.6229194,UT,047,14060002,14060002,14,100.00,ST,Yes,Southwest,False,True
09266000,ASHLEY CR SPRING NR VERNAL UT,40.5860692,-109.6229194,UT,047,14060002,14060002,14,,ST,Yes,Southwest,False,True
09266500,"ASHLEY CREEK NEAR VERNAL, UT",40.5774426,-109.6221085,UT,047,14060010,14060010,14,101,ST,Yes,Southwest,False,True
09267100,"ASHLEY CREEK ABOVE DRY FORK, NR VERNAL, UTAH",40.53773628,-109.6098627,UT,047,14060002,14060002,14,110.00,ST,Yes,Southwest,False,True
09267500,"MOSBY CANAL NEAR LAPOINT, UT",40.6082881,-109.8840393,UT,047,14060002,14060002,14,0.01,ST,Yes,Southwest,False,True
09268000,"DRY FORK ABOVE SINKS, NEAR DRY FORK, UTAH",40.6263445,-109.8201488,UT,047,14060002,14060002,14,44.40,ST,Yes,Southwest,False,True
09268500,"NORTH FORK OF DRY FORK NEAR DRY FORK, UTAH",40.6427334,-109.810982,UT,047,14060002,14060002,14,8.62,ST,Yes,Southwest,False,True
09268900,"BROWNIE CANYON ABOVE SINKS, NR DRY FORK, UTAH",40.65940095,-109.7509807,UT,047,14060002,14060002,14,8.24,ST,Yes,Southwest,False,True
09269000,"EAST FORK OF DRY FORK NEAR DRY FORK, UTAH",40.64995639,-109.7618142,UT,047,14060002,14060002,14,12.00,ST,Yes,Southwest,False,True
